KYWD,2021,2022,2023,2024,2025,2026
entity,0.0,7.0,10.0,7.0,5.0,0.0
entrepreneurial,0.0,0.0,0.0,5.0,1.0,0.0
entrepreneurial intention,16.0,16.0,15.0,14.0,18.0,15.0
entrepreneurial orientation,0.0,6.0,3.0,8.0,11.0,9.0
entrepreneurial self-efficacy,0.0,5.0,5.0,3.0,0.0,0.0
entrepreneurship,23.0,19.0,26.0,18.0,15.0,13.0
entrepreneurship education,0.0,9.0,9.0,6.0,7.0,4.0
entry,0.0,0.0,7.0,5.0,5.0,3.0
environment,45.0,55.0,51.0,56.0,54.0,53.0
environmental communication,0.0,6.0,1.0,0.0,0.0,0.0
environmental education,7.0,18.0,10.0,12.0,10.0,11.0
environmental factors,0.0,0.0,6.0,1.0,0.0,0.0
environmental management,0.0,0.0,7.0,1.0,0.0,0.0
environmental performance,0.0,5.0,3.0,0.0,0.0,0.0
environmental policy,0.0,0.0,0.0,5.0,1.0,0.0
environmental uncertainty,0.0,0.0,5.0,1.0,0.0,0.0
equal,7.0,7.0,16.0,17.0,9.0,9.0
equality,27.0,30.0,24.0,24.0,19.0,17.0
equipment,0.0,0.0,5.0,1.0,0.0,0.0
equitable,0.0,0.0,0.0,6.0,2.0,0.0
equity,12.0,19.0,13.0,23.0,19.0,20.0
er,0.0,0.0,0.0,5.0,0.0,0.0
era,7.0,4.0,0.0,7.0,1.0,0.0
error,0.0,6.0,10.0,8.0,6.0,4.0
errors,0.0,0.0,0.0,5.0,0.0,0.0
esg,45.0,92.0,139.0,123.0,113.0,117.0
esg activities,0.0,0.0,0.0,7.0,3.0,0.0
esg management,5.0,12.0,30.0,22.0,18.0,15.0
esg performance,0.0,0.0,0.0,10.0,4.0,0.0
esg rating,0.0,0.0,6.0,5.0,4.0,0.0
establishment,6.0,13.0,13.0,11.0,17.0,14.0
estate,35.0,19.0,26.0,28.0,23.0,25.0
estate market,0.0,0.0,9.0,3.0,0.0,0.0
estimation,5.0,1.0,0.0,0.0,0.0,0.0
etf,0.0,5.0,1.0,0.0,0.0,0.0
ethical leadership,7.0,3.0,6.0,3.0,0.0,0.0
ethics,26.0,16.0,18.0,17.0,15.0,15.0
ethnic identity,0.0,5.0,1.0,0.0,0.0,0.0
ethnicity,0.0,0.0,6.0,5.0,3.0,0.0
ethnography,0.0,0.0,5.0,2.0,0.0,0.0
eu,45.0,37.0,39.0,49.0,40.0,41.0
europe,0.0,7.0,7.0,6.0,2.0,0.0
european,9.0,13.0,10.0,6.0,11.0,7.0
european union,8.0,11.0,9.0,5.0,8.0,4.0
evaluation,19.0,25.0,19.0,15.0,21.0,17.0
evaluation indicators,0.0,5.0,2.0,0.0,0.0,0.0
evasion,0.0,0.0,6.0,1.0,0.0,0.0
event,7.0,6.0,4.0,0.0,0.0,0.0
event study,0.0,5.0,3.0,0.0,0.0,0.0
everyday life,0.0,0.0,6.0,4.0,0.0,0.0
evidence,20.0,18.0,24.0,17.0,17.0,15.0
ex,10.0,6.0,4.0,5.0,5.0,4.0
examination,9.0,9.0,8.0,13.0,19.0,17.0
exception,9.0,8.0,2.0,0.0,0.0,0.0
exceptions,7.0,3.0,0.0,5.0,6.0,4.0
excess,9.0,4.0,8.0,2.0,0.0,0.0
excessive,7.0,5.0,5.0,4.0,0.0,3.0
exchange,11.0,15.0,15.0,8.0,7.0,4.0
exclusion,16.0,8.0,9.0,8.0,6.0,6.0
exclusive,6.0,8.0,4.0,6.0,7.0,5.0
execution,14.0,16.0,12.0,8.0,10.0,7.0
executive,7.0,5.0,3.0,9.0,5.0,6.0
exemption,9.0,14.0,13.0,6.0,11.0,8.0
exercise,9.0,4.0,6.0,10.0,4.0,0.0
exhaustion,5.0,6.0,7.0,1.0,0.0,0.0
expansion,0.0,0.0,7.0,8.0,6.0,5.0
expectation,0.0,6.0,4.0,0.0,0.0,6.0
expenditure,12.0,9.0,2.0,5.0,0.0,0.0
expenses,11.0,6.0,11.0,10.0,5.0,4.0
experience,13.0,13.0,10.0,7.0,12.0,8.0
experience economy theory,0.0,0.0,7.0,6.0,5.0,4.0
experiential avoidance,0.0,5.0,2.0,0.0,0.0,0.0
experiential value,8.0,5.0,6.0,4.0,0.0,0.0
expert,5.0,6.0,4.0,0.0,0.0,0.0
expertise,0.0,7.0,4.0,8.0,7.0,6.0
explain,5.0,3.0,0.0,0.0,0.0,0.0
explanation,5.0,3.0,6.0,5.0,2.0,0.0
exploitation,9.0,0.0,5.0,8.0,2.0,0.0
exploratory factor analysis,0.0,5.0,3.0,0.0,0.0,5.0
export,18.0,18.0,17.0,17.0,11.0,11.0
export competitiveness,7.0,10.0,3.0,0.0,0.0,0.0
export control,0.0,0.0,0.0,5.0,4.0,0.0
export performance,8.0,6.0,6.0,7.0,4.0,0.0
exports,5.0,2.0,0.0,0.0,0.0,0.0
expression,21.0,16.0,15.0,13.0,13.0,10.0
expropriation,8.0,4.0,0.0,10.0,4.0,0.0
extended,0.0,0.0,5.0,6.0,6.0,5.0
extension,0.0,0.0,0.0,6.0,4.0,0.0
external,6.0,6.0,2.0,0.0,0.0,0.0
externality,0.0,5.0,2.0,0.0,0.0,0.0
extinction,0.0,0.0,8.0,9.0,7.0,6.0
extinctive,6.0,6.0,1.0,0.0,0.0,0.0
extraterritorial,0.0,5.0,0.0,5.0,4.0,0.0
f,10.0,7.0,8.0,10.0,9.0,8.0
face,9.0,5.0,4.0,0.0,0.0,0.0
facilities,8.0,10.0,11.0,10.0,10.0,9.0
facility,0.0,0.0,0.0,6.0,3.0,0.0
fact,7.0,8.0,6.0,2.0,0.0,4.0
facto,10.0,9.0,7.0,6.0,2.0,0.0
factor,18.0,11.0,11.0,7.0,4.0,0.0
factor analysis,12.0,4.0,10.0,5.0,5.0,2.0
factors,11.0,8.0,7.0,12.0,10.0,10.0
facts,6.0,6.0,1.0,6.0,9.0,8.0
factual,0.0,0.0,0.0,5.0,4.0,0.0
failure,6.0,1.0,0.0,0.0,0.0,0.0
fair,23.0,30.0,29.0,19.0,26.0,21.0
fairness,24.0,18.0,21.0,21.0,22.0,19.0
faith,8.0,8.0,6.0,8.0,5.0,6.0
fake,7.0,4.0,0.0,0.0,0.0,0.0
fake news,10.0,11.0,8.0,2.0,0.0,0.0
false,9.0,7.0,5.0,6.0,8.0,6.0
familiarity,0.0,0.0,0.0,5.0,1.0,0.0
family,24.0,22.0,33.0,30.0,28.0,28.0
family firms,5.0,3.0,0.0,0.0,0.0,0.0
family support,0.0,0.0,0.0,5.0,4.0,0.0
fandom,7.0,7.0,4.0,0.0,0.0,5.0
fascism,0.0,0.0,5.0,2.0,0.0,0.0
fault,0.0,6.0,2.0,0.0,0.0,5.0
fdi,14.0,13.0,8.0,7.0,2.0,0.0
fear,6.0,4.0,6.0,6.0,4.0,0.0
feasibility,0.0,0.0,0.0,5.0,1.0,0.0
federal,6.0,4.0,6.0,6.0,5.0,4.0
fee,8.0,9.0,11.0,20.0,7.0,7.0
feedback,6.0,7.0,2.0,0.0,0.0,0.0
female,8.0,11.0,7.0,7.0,3.0,0.0
feminism,19.0,27.0,13.0,14.0,16.0,14.0
fertility,0.0,0.0,0.0,8.0,5.0,5.0
fertility rate,0.0,0.0,0.0,5.0,2.0,0.0
festival,9.0,9.0,5.0,5.0,9.0,7.0
ffentliche,5.0,4.0,0.0,0.0,0.0,0.0
fgi,8.0,11.0,11.0,9.0,7.0,5.0
fiction,7.0,1.0,0.0,0.0,0.0,0.0
fiduciary,9.0,6.0,3.0,6.0,13.0,10.0
field,7.0,5.0,3.0,0.0,0.0,5.0
filter,0.0,0.0,0.0,5.0,2.0,0.0
financial,59.0,64.0,75.0,46.0,50.0,43.0
financial constraints,0.0,0.0,6.0,2.0,0.0,0.0
financial performance,13.0,7.0,19.0,18.0,9.0,10.0
financial support,0.0,5.0,5.0,4.0,0.0,0.0
financing,5.0,2.0,0.0,9.0,7.0,6.0
finding,0.0,6.0,2.0,0.0,0.0,0.0
fine,0.0,6.0,4.0,0.0,0.0,0.0
fintech,11.0,1.0,9.0,2.0,0.0,4.0
fire,5.0,4.0,7.0,10.0,6.0,6.0
firefighting,0.0,0.0,0.0,6.0,3.0,0.0
firm,14.0,12.0,14.0,7.0,10.0,8.0
firm performance,12.0,5.0,5.0,14.0,10.0,11.0
firm size,0.0,6.0,5.0,6.0,1.0,0.0
firm value,14.0,17.0,10.0,27.0,9.0,11.0
firms,0.0,0.0,5.0,2.0,0.0,0.0
first,8.0,7.0,10.0,7.0,5.0,3.0
fiscal,15.0,9.0,13.0,7.0,5.0,3.0
fiscal decentralization,0.0,0.0,0.0,5.0,2.0,0.0
fisheries,0.0,5.0,0.0,0.0,0.0,0.0
fishing,8.0,4.0,0.0,0.0,0.0,0.0
fixed,6.0,10.0,10.0,10.0,4.0,0.0
fixed effect model,8.0,7.0,8.0,6.0,5.0,4.0
flexibility,9.0,3.0,0.0,0.0,0.0,0.0
flexible,0.0,6.0,4.0,0.0,0.0,0.0
flight attendant,5.0,3.0,8.0,1.0,0.0,0.0
flipped learning,9.0,4.0,5.0,5.0,2.0,0.0
flow,23.0,19.0,21.0,22.0,17.0,17.0
focus group interview,12.0,11.0,13.0,11.0,15.0,13.0
followership,5.0,1.0,0.0,0.0,0.0,0.0
fomo,0.0,0.0,0.0,5.0,0.0,0.0
food,0.0,8.0,7.0,5.0,7.0,4.0
food delivery app,0.0,5.0,1.0,0.0,0.0,0.0
food service companies,0.0,0.0,5.0,3.0,0.0,0.0
food service industry,0.0,5.0,2.0,0.0,0.0,0.0
food tourism,6.0,2.0,0.0,0.0,0.0,0.0
force,14.0,19.0,18.0,15.0,14.0,12.0
forced,0.0,6.0,9.0,5.0,6.0,0.0
forces,0.0,7.0,8.0,9.0,3.0,0.0
forecasting,6.0,8.0,5.0,7.0,8.0,8.0
foreign,26.0,21.0,31.0,32.0,31.0,30.0
foreign direct investment,9.0,8.0,10.0,2.0,0.0,0.0
foreign investors,8.0,3.0,0.0,6.0,4.0,0.0
foreign policy,18.0,14.0,4.0,7.0,6.0,5.0
foreign residents,0.0,0.0,0.0,5.0,4.0,0.0
foreign worker,0.0,0.0,0.0,5.0,2.0,0.0
foreign workers,0.0,0.0,5.0,7.0,4.0,0.0
foreigners,0.0,0.0,0.0,6.0,1.0,0.0
forest,0.0,7.0,4.0,0.0,0.0,6.0
forgotten,0.0,0.0,5.0,2.0,0.0,0.0
form,11.0,9.0,10.0,12.0,12.0,10.0
formation,0.0,0.0,0.0,5.0,5.0,4.0
forum,0.0,0.0,7.0,1.0,0.0,0.0
foundation,0.0,0.0,0.0,6.0,4.0,0.0
fourth,12.0,0.0,7.0,5.0,3.0,0.0
frame,7.0,3.0,0.0,0.0,0.0,0.0
framework,19.0,27.0,33.0,23.0,26.0,20.0
fran,0.0,5.0,0.0,0.0,0.0,0.0
france,15.0,10.0,12.0,8.0,6.0,4.0
franchise,8.0,9.0,3.0,0.0,0.0,0.0
fraud,15.0,11.0,8.0,18.0,9.0,11.0
fraudulent,11.0,7.0,4.0,0.0,0.0,0.0
free,13.0,16.0,13.0,8.0,8.0,4.0
free trade agreement,9.0,3.0,7.0,3.0,0.0,0.0
freedom,55.0,40.0,40.0,35.0,44.0,37.0
freedom of expression,9.0,11.0,5.0,8.0,7.0,6.0
freedom of speech,5.0,3.0,0.0,0.0,0.0,0.0
french,0.0,6.0,8.0,5.0,7.0,4.0
frequency,0.0,8.0,6.0,4.0,0.0,3.0
friendship,0.0,0.0,0.0,5.0,0.0,0.0
from,14.0,19.0,16.0,14.0,13.0,12.0
fta,20.0,21.0,22.0,18.0,9.0,7.0
full,5.0,4.0,6.0,2.0,0.0,3.0
function,8.0,4.0,11.0,12.0,13.0,11.0
functional,0.0,5.0,3.0,0.0,0.0,0.0
fund,16.0,23.0,17.0,11.0,12.0,8.0
fundamental,27.0,14.0,17.0,18.0,14.0,14.0
future,10.0,13.0,12.0,13.0,11.0,10.0
future city,0.0,0.0,0.0,6.0,1.0,0.0
futures,0.0,5.0,3.0,0.0,0.0,0.0
g,0.0,0.0,6.0,3.0,0.0,0.0
gain,0.0,7.0,0.0,0.0,0.0,0.0
gains,5.0,4.0,8.0,5.0,3.0,0.0
game,5.0,9.0,15.0,5.0,3.0,0.0
gamification,0.0,0.0,5.0,3.0,0.0,0.0
gangwon,0.0,5.0,3.0,0.0,0.0,0.0
gap,7.0,4.0,7.0,5.0,5.0,3.0
gas,7.0,12.0,6.0,10.0,10.0,9.0
gatt,8.0,5.0,4.0,0.0,0.0,0.0
gdpr,0.0,5.0,2.0,7.0,4.0,0.0
gegen,0.0,5.0,0.0,0.0,0.0,0.0
gen z,0.0,0.0,0.0,6.0,1.0,0.0
gender,63.0,56.0,37.0,49.0,55.0,58.0
gender conflict,0.0,5.0,4.0,5.0,4.0,0.0
gender difference,7.0,10.0,12.0,5.0,5.0,2.0
gender diversity,5.0,1.0,0.0,0.0,0.0,0.0
gender equality,9.0,8.0,12.0,11.0,7.0,7.0
gender inequality,7.0,5.0,5.0,6.0,7.0,5.0
gender mainstreaming,0.0,0.0,0.0,5.0,1.0,0.0
gender stereotypes,0.0,0.0,0.0,5.0,3.0,0.0
gender theory,0.0,0.0,0.0,6.0,3.0,0.0
gender-based violence,0.0,0.0,0.0,5.0,3.0,0.0
general,37.0,23.0,39.0,37.0,30.0,28.0
general election,0.0,0.0,0.0,5.0,0.0,0.0
generation,12.0,14.0,20.0,18.0,15.0,14.0
generation z,5.0,5.0,11.0,1.0,0.0,5.0
generational conflict,0.0,8.0,3.0,0.0,0.0,0.0
generative,0.0,0.0,13.0,11.0,14.0,11.0
generative ai,0.0,0.0,25.0,61.0,72.0,67.0
genetic,6.0,8.0,2.0,0.0,0.0,0.0
genocide,0.0,0.0,0.0,5.0,5.0,4.0
gentrification,5.0,3.0,0.0,0.0,0.0,0.0
geography,0.0,5.0,3.0,0.0,0.0,0.0
geography education,0.0,5.0,3.0,0.0,0.0,7.0
geopolitics,10.0,13.0,2.0,11.0,3.0,0.0
german,12.0,3.0,7.0,9.0,8.0,6.0
germany,12.0,11.0,9.0,10.0,6.0,6.0
germany unconstitutionality,0.0,0.0,5.0,1.0,0.0,0.0
gesetz,0.0,0.0,0.0,6.0,6.0,0.0
gift,16.0,6.0,15.0,5.0,14.0,8.0
gifted education,0.0,6.0,5.0,8.0,7.0,6.0
gifted students,0.0,7.0,2.0,0.0,0.0,0.0
gini coefficient,5.0,3.0,0.0,0.0,0.0,0.0
gis,0.0,5.0,5.0,6.0,4.0,0.0
global,16.0,11.0,15.0,19.0,15.0,15.0
global citizenship,0.0,6.0,3.0,5.0,8.0,7.0
global citizenship education,0.0,12.0,3.0,0.0,0.0,10.0
global governance,5.0,2.0,0.0,0.0,0.0,0.0
global south,0.0,0.0,0.0,13.0,5.0,5.0
global value chain,15.0,8.0,6.0,6.0,1.0,0.0
globalization,11.0,15.0,5.0,9.0,7.0,6.0
gmm,0.0,8.0,1.0,6.0,1.0,0.0
good,10.0,8.0,10.0,14.0,8.0,8.0
goods,0.0,11.0,12.0,5.0,5.0,2.0
governance,51.0,52.0,60.0,55.0,61.0,58.0
governing,10.0,10.0,11.0,4.0,0.0,5.0
government,37.0,29.0,45.0,34.0,34.0,28.0
government subsidies,6.0,2.0,0.0,0.0,0.0,0.0
government support,0.0,8.0,2.0,0.0,0.0,6.0
governmentality,8.0,8.0,4.0,6.0,6.0,4.0
gpt,0.0,0.0,14.0,19.0,5.0,5.0
granger causality,0.0,5.0,7.0,2.0,0.0,4.0
gravity model,15.0,13.0,11.0,12.0,7.0,6.0
green,5.0,16.0,5.0,7.0,7.0,5.0
green new deal,9.0,1.0,0.0,0.0,0.0,0.0
green space,0.0,0.0,0.0,9.0,1.0,0.0
greenhouse,0.0,7.0,3.0,8.0,7.0,6.0
greenhouse gas,0.0,0.0,0.0,6.0,2.0,0.0
grit,20.0,28.0,29.0,29.0,17.0,18.0
ground,0.0,0.0,6.0,3.0,0.0,0.0
grounded theory,23.0,17.0,20.0,24.0,30.0,28.0
grounds,6.0,7.0,4.0,8.0,7.0,6.0
group,15.0,12.0,15.0,21.0,6.0,6.0
group counseling,6.0,4.0,0.0,5.0,5.0,3.0
group-based trajectory model,5.0,2.0,0.0,0.0,0.0,0.0
growth,22.0,14.0,18.0,15.0,8.0,7.0
growth mindset,0.0,7.0,5.0,4.0,0.0,0.0
growth mixture model,0.0,0.0,0.0,7.0,2.0,0.0
grundrechte,6.0,5.0,5.0,4.0,0.0,0.0
guarantee,12.0,6.0,16.0,3.0,0.0,9.0
guardianship,5.0,3.0,5.0,5.0,6.0,4.0
guidance,5.0,2.0,0.0,0.0,0.0,0.0
guideline,5.0,6.0,2.0,0.0,0.0,0.0
guidelines,7.0,8.0,11.0,7.0,8.0,6.0
gvc,0.0,5.0,1.0,0.0,0.0,0.0
gyeonggi,0.0,0.0,0.0,5.0,1.0,0.0
gyeonggi province,5.0,5.0,6.0,5.0,6.0,4.0
gyeongnam,12.0,18.0,11.0,9.0,0.0,0.0
gyeongsangnam,6.0,3.0,0.0,0.0,0.0,0.0
habermas,0.0,0.0,0.0,8.0,1.0,0.0
habitus,5.0,3.0,0.0,0.0,0.0,0.0
hague,7.0,3.0,8.0,6.0,5.0,0.0
hallyu,6.0,4.0,7.0,4.0,0.0,4.0
ham seok,0.0,0.0,0.0,5.0,7.0,5.0
happiness,29.0,28.0,31.0,25.0,27.0,25.0
harassment,11.0,4.0,14.0,16.0,5.0,0.0
harm,5.0,1.0,0.0,5.0,2.0,0.0
hate,0.0,10.0,5.0,6.0,5.0,5.0
hate speech,10.0,8.0,6.0,5.0,1.0,0.0
health,48.0,34.0,49.0,40.0,40.0,33.0
health inequality,0.0,0.0,6.0,3.0,0.0,0.0
healthcare,9.0,7.0,4.0,7.0,7.0,5.0
hearsay,5.0,2.0,0.0,0.0,0.0,0.0
hedonic,0.0,5.0,4.0,0.0,0.0,0.0
hedonic price model,7.0,5.0,6.0,2.0,0.0,0.0
hegemony,6.0,6.0,4.0,0.0,0.0,5.0
heritage,6.0,6.0,4.0,5.0,1.0,0.0
heuristic,5.0,8.0,3.0,0.0,0.0,0.0
hierarchy,0.0,7.0,4.0,0.0,0.0,0.0
high,9.0,7.0,18.0,16.0,20.0,18.0
high school credit system,8.0,7.0,9.0,8.0,5.0,5.0
high school students,5.0,3.0,0.0,7.0,0.0,0.0
higher,0.0,0.0,6.0,1.0,0.0,0.0
higher education,13.0,16.0,8.0,16.0,11.0,12.0
historical,5.0,0.0,0.0,5.0,5.0,0.0
historical institutionalism,6.0,9.0,7.0,8.0,7.0,6.0
history,12.0,11.0,13.0,14.0,11.0,10.0
history curriculum,5.0,0.0,0.0,0.0,0.0,6.0
history education,15.0,12.0,10.0,15.0,14.0,13.0
history textbook,5.0,6.0,1.0,0.0,0.0,0.0
hmr,8.0,7.0,3.0,0.0,0.0,0.0
holding,6.0,9.0,3.0,6.0,3.0,0.0
holiday,0.0,0.0,5.0,1.0,0.0,0.0
home,5.0,5.0,7.0,6.0,4.0,0.0
homophily,5.0,0.0,0.0,0.0,0.0,0.0
homosexuality,0.0,0.0,0.0,5.0,0.0,0.0
hong,6.0,2.0,0.0,0.0,0.0,0.0
honor,0.0,0.0,5.0,1.0,0.0,0.0
horizontal,0.0,0.0,0.0,5.0,0.0,0.0
hospital,0.0,0.0,0.0,6.0,3.0,0.0
hospitality industry,5.0,2.0,0.0,0.0,0.0,0.0
hotel,12.0,9.0,8.0,4.0,0.0,0.0
hotel employees,12.0,3.0,0.0,0.0,0.0,0.0
hotel industry,8.0,7.0,6.0,1.0,0.0,3.0
hours,5.0,8.0,14.0,12.0,10.0,9.0
house,6.0,13.0,2.0,11.0,7.0,7.0
household,6.0,7.0,6.0,4.0,0.0,5.0
household debt,0.0,5.0,1.0,0.0,0.0,0.0
housing,30.0,54.0,60.0,53.0,53.0,50.0
housing market,7.0,1.0,0.0,0.0,0.0,0.0
housing policy,9.0,3.0,0.0,5.0,5.0,3.0
housing price,9.0,7.0,2.0,0.0,0.0,5.0
housing supply,0.0,0.0,0.0,5.0,1.0,0.0
housing welfare,0.0,0.0,10.0,8.0,3.0,0.0
hrd,5.0,4.0,0.0,0.0,0.0,0.0
hs code,0.0,0.0,5.0,0.0,0.0,0.0
human,38.0,48.0,38.0,49.0,32.0,31.0
human capital,0.0,7.0,6.0,5.0,2.0,0.0
human resource management,7.0,2.0,9.0,3.0,0.0,0.0
human rights,21.0,19.0,22.0,18.0,8.0,7.0
humanitarian,0.0,10.0,9.0,12.0,2.0,0.0
humanitarian law,0.0,0.0,0.0,5.0,0.0,0.0
hybrid,7.0,5.0,3.0,5.0,7.0,5.0
i,9.0,1.0,0.0,0.0,0.0,0.0
iccpr,0.0,5.0,1.0,0.0,0.0,0.0
ico,5.0,2.0,0.0,0.0,0.0,0.0
ict,22.0,15.0,8.0,15.0,5.0,6.0
identification,11.0,9.0,10.0,9.0,3.0,0.0
identity,22.0,35.0,21.0,24.0,27.0,25.0
ideology,10.0,19.0,16.0,10.0,15.0,11.0
ifrs,0.0,6.0,2.0,0.0,0.0,0.0
illegal,11.0,14.0,16.0,16.0,9.0,9.0
illegality,0.0,5.0,7.0,4.0,0.0,0.0
illness,0.0,0.0,0.0,5.0,0.0,0.0
ilo,8.0,2.0,8.0,6.0,7.0,5.0
im,9.0,1.0,0.0,0.0,0.0,0.0
image,7.0,9.0,14.0,13.0,9.0,8.0
immersion,6.0,5.0,5.0,4.0,0.0,5.0
immigrant,6.0,0.0,0.0,0.0,0.0,0.0
immigrants,0.0,6.0,9.0,7.0,9.0,6.0
immigration,9.0,7.0,16.0,14.0,17.0,14.0
immunity,5.0,2.0,7.0,5.0,8.0,6.0
impact,14.0,8.0,8.0,15.0,11.0,12.0
imperialism,0.0,8.0,7.0,3.0,0.0,0.0
implementation,5.0,7.0,4.0,11.0,6.0,5.0
implied,0.0,0.0,6.0,3.0,0.0,0.0
import,5.0,7.0,2.0,0.0,0.0,0.0
importance,0.0,9.0,3.0,5.0,5.0,3.0
importance-performance analysis,6.0,11.0,8.0,4.0,0.0,0.0
impossibility,0.0,0.0,5.0,3.0,0.0,0.0
improvement,11.0,21.0,20.0,20.0,25.0,23.0
improvement plan,0.0,0.0,6.0,1.0,0.0,0.0
impulse buying,0.0,0.0,5.0,1.0,0.0,0.0
in-depth interview,9.0,8.0,10.0,19.0,6.0,6.0
incentive,0.0,10.0,7.0,13.0,9.0,10.0
incheon,6.0,4.0,8.0,3.0,0.0,0.0
incheon metropolitan city,5.0,7.0,2.0,0.0,0.0,0.0
incident,0.0,0.0,0.0,5.0,2.0,0.0
inclusion,5.0,5.0,11.0,9.0,5.0,6.0
inclusiveness,0.0,0.0,5.0,2.0,0.0,0.0
income,46.0,44.0,25.0,30.0,40.0,35.0
income inequality,9.0,7.0,5.0,4.0,0.0,0.0
indecent,0.0,0.0,5.0,2.0,0.0,0.0
indemnity,0.0,5.0,1.0,0.0,0.0,0.0
independence,13.0,17.0,17.0,10.0,10.0,6.0
independent,8.0,10.0,11.0,5.0,10.0,6.0
index,18.0,21.0,14.0,6.0,10.0,7.0
india,19.0,15.0,21.0,11.0,13.0,9.0
indicator,0.0,0.0,0.0,5.0,0.0,0.0
indigenous,0.0,5.0,5.0,2.0,0.0,0.0
indirect,9.0,7.0,19.0,11.0,16.0,12.0
individual,13.0,12.0,12.0,13.0,4.0,0.0
individualization,0.0,0.0,6.0,3.0,0.0,0.0
indo,0.0,0.0,0.0,5.0,3.0,0.0
indo pacific,0.0,7.0,7.0,4.0,0.0,4.0
indo-pacific strategy,6.0,2.0,8.0,3.0,0.0,0.0
indonesia,5.0,8.0,14.0,18.0,14.0,14.0
industrial,44.0,40.0,45.0,34.0,24.0,19.0
industrial accident,0.0,0.0,5.0,3.0,0.0,0.0
industrial complex,0.0,0.0,0.0,5.0,1.0,0.0
industrial policy,0.0,5.0,4.0,0.0,0.0,0.0
industrialization,0.0,5.0,4.0,0.0,0.0,0.0
industries,0.0,0.0,5.0,3.0,0.0,0.0
industry,29.0,30.0,49.0,30.0,25.0,19.0
industry-academic cooperation,5.0,1.0,0.0,0.0,0.0,0.0
inequality,26.0,25.0,6.0,20.0,18.0,19.0
infant,5.0,4.0,6.0,1.0,0.0,0.0
infectious,14.0,6.0,1.0,0.0,0.0,0.0
infectious disease,16.0,2.0,0.0,0.0,0.0,0.0
inflation,0.0,0.0,6.0,5.0,3.0,0.0
influencer,11.0,11.0,14.0,8.0,4.0,0.0
influencer characteristics,0.0,5.0,2.0,0.0,0.0,0.0
influencing factors,0.0,0.0,6.0,9.0,2.0,0.0
informal learning,0.0,6.0,1.0,0.0,0.0,0.0
informatics education,7.0,4.0,0.0,0.0,0.0,0.0
information,95.0,68.0,74.0,81.0,66.0,69.0
information asymmetry,7.0,12.0,7.0,8.0,15.0,12.0
information quality,7.0,4.0,6.0,5.0,5.0,3.0
information sharing,5.0,5.0,3.0,0.0,0.0,0.0
infrastructure,9.0,4.0,5.0,15.0,7.0,9.0
infringement,12.0,13.0,27.0,20.0,15.0,12.0
inheritance,15.0,14.0,23.0,14.0,16.0,12.0
inherited,0.0,0.0,5.0,3.0,0.0,0.0
initial,7.0,2.0,0.0,0.0,0.0,0.0
injunction,5.0,8.0,4.0,6.0,10.0,8.0
injury,0.0,5.0,5.0,6.0,4.0,0.0
innovation,38.0,33.0,42.0,31.0,25.0,24.0
innovation behavior,10.0,8.0,2.0,5.0,3.0,0.0
innovation capability,0.0,6.0,2.0,5.0,2.0,0.0
innovation city,0.0,5.0,3.0,6.0,0.0,0.0
innovation diffusion theory,5.0,4.0,8.0,6.0,1.0,0.0
innovation performance,12.0,6.0,2.0,6.0,6.0,4.0
innovation resistance,0.0,6.0,9.0,4.0,0.0,5.0
innovative behavior,19.0,25.0,21.0,29.0,25.0,27.0
innovative work behavior,0.0,0.0,0.0,5.0,3.0,0.0
innovativeness,6.0,10.0,14.0,7.0,4.0,0.0
input,5.0,5.0,9.0,7.0,6.0,4.0
input-output analysis,0.0,6.0,3.0,0.0,0.0,0.0
insider,5.0,3.0,0.0,0.0,0.0,4.0
insolvency,10.0,4.0,0.0,0.0,0.0,0.0
inspection,0.0,0.0,8.0,7.0,6.0,4.0
instagram,5.0,5.0,5.0,7.0,4.0,0.0
institute,0.0,0.0,0.0,5.0,7.0,0.0
institution,11.0,8.0,9.0,10.0,8.0,7.0
institutional,15.0,6.0,8.0,3.0,0.0,7.0
institutional change,0.0,0.0,0.0,7.0,3.0,0.0
institutional investor,5.0,1.0,0.0,5.0,3.0,0.0
institutionalization,7.0,4.0,5.0,5.0,6.0,5.0
institutions,5.0,8.0,6.0,10.0,6.0,6.0
instructional design,0.0,0.0,0.0,5.0,10.0,9.0
insult,6.0,1.0,0.0,0.0,0.0,0.0
insurance,45.0,31.0,44.0,38.0,23.0,20.0
intangible assets,5.0,0.0,0.0,0.0,0.0,0.0
integrated,10.0,6.0,8.0,9.0,13.0,11.0
integrated care,0.0,6.0,1.0,0.0,0.0,0.0
integration,16.0,13.0,17.0,18.0,10.0,11.0
integrity,7.0,6.0,7.0,7.0,2.0,0.0
intellectual,12.0,15.0,6.0,9.0,12.0,10.0
intellectual disabilities,6.0,10.0,8.0,7.0,5.0,4.0
intellectual property,0.0,0.0,6.0,1.0,0.0,0.0
intellectual property rights,0.0,6.0,4.0,0.0,0.0,0.0
intelligence,11.0,4.0,8.0,7.0,2.0,0.0
intelligent,10.0,3.0,0.0,0.0,0.0,0.0
intelligenz,0.0,0.0,0.0,7.0,2.0,0.0
intensity,0.0,0.0,6.0,6.0,4.0,0.0
intention,13.0,14.0,12.0,7.0,10.0,7.0
intention to stay,5.0,1.0,0.0,0.0,0.0,0.0
